Car_ID,Brand,Model,Year,Color,Fuel_Type,Transmission,Body_Style,KM_Driven,Owner_Type,Selling_Price,Sale_Date,Dealer_Name,Dealer_Region,Seller_Type,Customer_Name,Phone,Email,Registration_State,Selling_Price_Numeric,Sale_Date_Standardized,Phone_Cleaned,Email_Cleaned,Selling_Price_Formatted
CAR0017,Tata,Tiago,2017,Green,Petrol,Automatic,Hatchback,94314,Second Owner,17.47 lakh,2024-10-06,Dealer_A6,South,Individual,Customer_4697,8277121963,customer636@gmail.com,DL,1747000.0,2024-10-06,+91-82771-21963,customer636@gmail.com,Rs 17.47 L
CAR0018,Hyundai,i20,2016,Silver,Diesel,Automatic,SUV,123096,Third Owner,4141911,02/10/2024,Dealer_E19,North,Corporate,Customer_5728,8728760924,customer83@gmail.com,UP,4141911.0,2024-10-02,+91-87287-60924,customer83@gmail.com,Rs 41.42 L
CAR0019,Toyota,Corolla,2017,Grey,Electric,Automatic,SUV,141043,Fourth & Above,3909689,2023-11-25,Dealer_C18,South,Dealer,Customer_2899,7004943787,customer193@hotmail.com,WB,3909689.0,2023-11-25,+91-70049-43787,customer193@hotmail.com,Rs 39.10 L
CAR0020,Tata,Unknown Model,2010,Blue,Electric,Semi-Automatic,Coupe,67730,Fourth & Above,1528572,07-06-23,Dealer_E16,East,Dealer,Customer_9327,8782164134,customer3@hotmail.com,RJ,1528572.0,2023-06-07,+91-87821-64134,customer3@hotmail.com,Rs 15.29 L
CAR0021,Tata,Safari,2023,Brown,Petrol,Semi-Automatic,Wagon,54454,Third Owner,0.22 crore,10/11/2024,Dealer_D18,North,Corporate,Customer_3361,9016446768,customer408@gmail.com,DL,2200000.0,2024-11-10,+91-90164-46768,customer408@gmail.com,Rs 22.00 L
CAR0022,Maruti,Baleno,2013,Silver,Hybrid,Manual,SUV,28692,Third Owner,3840416,02-17-2023,Dealer_A15,East,Corporate,Customer_7267,7614685938,customer683@gmail.com,UP,3840416.0,2023-02-17,+91-76146-85938,customer683@gmail.com,Rs 38.40 L
CAR0023,Mercedes,GLC,2017,Silver,Petrol,Automatic,Sedan,84199,Fourth & Above,18.71 lakh,05-11-24,Dealer_C11,West,Individual,Customer_6772,9831163141,customer643@gmail.com,TN,1871000.0,2024-11-05,+91-98311-63141,customer643@gmail.com,Rs 18.71 L
CAR0024,Hyundai,Elantra,2024,Silver,Electric,Automatic,SUV,100907,Fourth & Above,0.47 crore,2023-12-13,Dealer_A15,East,Corporate,Customer_5332,9887681752,customer381@gmail.com,RJ,4700000.0,2023-12-13,+91-98876-81752,customer381@gmail.com,Rs 47.00 L
CAR0025,Honda,Civic,2010,Brown,CNG,Automatic,Convertible,14754,Second Owner,2753195,08-06-23,Dealer_A2,East,Individual,Customer_6942,9769510048,customer126outlook.com,KA,2753195.0,2023-06-08,+91-97695-10048,,Rs 27.53 L
CAR0026,Maruti,Swift,2023,White,CNG,Automatic,Sedan,59305,Third Owner,2011531,07-07-2024,Dealer_A16,West,Dealer,Customer_3076,9045460840,CUSTOMER463@YAHOO.COM,DL,2011531.0,2024-07-07,+91-90454-60840,customer463@yahoo.com,Rs 20.12 L
CAR0027,Tata,Unknown Model,2011,Silver,Hybrid,Automatic,Sedan,26178,First Owner,29.02 lakh,11-09-24,Dealer_C5,Central,Individual,Customer_8430,8342278523,customer946outlook.com,GJ,2902000.0,2024-09-11,+91-83422-78523,,Rs 29.02 L
CAR0028,Honda,CR-V,2015,Black,Electric,Semi-Automatic,Coupe,115870,Second Owner,6.32 lakh,12-25-2023,Dealer_A5,North,Individual,Customer_1430,7124352982,customer348hotmail.com,TN,632000.0,2023-12-25,+91-71243-52982,,Rs 6.32 L
CAR0029,Mercedes,A-Class,2017,White,Electric,Semi-Automatic,SUV,94363,Third Owner,15.20 lakh,2023-02-20,Dealer_C10,East,Individual,Customer_5640,+91-83246-51201,customer405gmail.com,MH,1520000.0,2023-02-20,+91-83246-51201,customer405@gmail.com,Rs 15.20 L
CAR0030,Tata,Tiago,2012,Red,Electric,Automatic,Wagon,38865,Second Owner,3389411,2024-04-15,Dealer_A17,Central,Individual,Customer_8538,7454678712,customer406@hotmail.com,GJ,3389411.0,2024-04-15,+91-74546-78712,customer406@hotmail.com,Rs 33.89 L
CAR0031,BMW,5 Series,2013,Green,CNG,Manual,Convertible,31949,First Owner,1428463,31-07-24,Dealer_D15,Central,Corporate,Customer_5961,7318646463,customer852hotmail.com,MH,1428463.0,2024-07-31,+91-73186-46463,,Rs 14.28 L
CAR0032,Tata,Altroz,2020,Blue,Hybrid,Automatic,Hatchback,54345,Second Owner,28.97 lakh,2023-06-26,Dealer_D5,Central,Corporate,Customer_1857,7405899939,customer873@yahoo.com,DL,2897000.0,2023-06-26,+91-74058-99939,customer873@yahoo.com,Rs 28.97 L
CAR0033,Ford,Mustang,2016,Brown,Diesel,Manual,Sedan,91108,Second Owner,1272011,01-19-2023,Dealer_D12,South,Dealer,Customer_9317,7162124225,customer612@outlook.com,UP,1272011.0,2023-01-19,+91-71621-24225,customer612@outlook.com,Rs 12.72 L
CAR0034,Tata,Harrier,2018,Green,Hybrid,Semi-Automatic,Hatchback,67696,Second Owner,2796004,16-10-23,Dealer_A14,North,Dealer,Customer_2680,7360240905,customer151outlook.com,GJ,2796004.0,2023-10-16,+91-73602-40905,,Rs 27.96 L
CAR0035,Honda,Dzire,2011,Silver,Petrol,Semi-Automatic,Convertible,103281,First Owner,2083567,28/04/2024,Dealer_B5,East,Dealer,Customer_7934,7205082311,customer65@gmail.com,MH,2083567.0,2024-04-28,+91-72050-82311,customer65@gmail.com,Rs 20.84 L
CAR0038,Toyota,Fortuner,2024,Silver,Electric,Automatic,Hatchback,86284,First Owner,45.23 lakh,02-18-2023,Dealer_C15,Central,Corporate,Customer_9151,73548137,customer617@yahoo.com,RJ,4523000.0,2023-02-18,73548137,customer617@yahoo.com,Rs 45.23 L
CAR0039,Hyundai,Venue,2015,Red,Diesel,Automatic,Hatchback,122212,Third Owner,555300,14-10-24,Dealer_B4,North,Corporate,Customer_7001,7659011900,customer782@gmail.com,KA,555300.0,2024-10-14,+91-76590-11900,customer782@gmail.com,Rs 5.55 L
CAR0040,Tata,Altroz,2016,Black,CNG,Semi-Automatic,Convertible,35870,Fourth & Above,23.96 lakh,17-03-23,Dealer_B20,North,Individual,Customer_3580,8552597094,CUSTOMER143@YAHOO.COM,UP,2396000.0,2023-03-17,+91-85525-97094,customer143@yahoo.com,Rs 23.96 L
CAR0041,Mercedes,Unknown Model,2018,Grey,Petrol,Manual,Convertible,112687,Second Owner,3634577,18/07/2024,Dealer_B6,Central,Corporate,Customer_6669,7338700713,customer129@hotmail.com,GJ,3634577.0,2024-07-18,+91-73387-00713,customer129@hotmail.com,Rs 36.35 L
CAR0042,Toyota,Camry,2011,Silver,Electric,Automatic,SUV,16917,Third Owner,24.20 lakh,06-11-23,Dealer_A2,East,Dealer,Customer_6573,8483355242,customer576@gmail.com,RJ,2420000.0,2023-11-06,+91-84833-55242,customer576@gmail.com,Rs 24.20 L
CAR0044,Tata,Safari,2018,Black,Hybrid,Manual,Convertible,7143,Second Owner,1101750,2023-10-23,Dealer_B11,Central,Dealer,Customer_6555,09587558681,customer141@hotmail.com,KA,1101750.0,2023-10-23,09587558681,customer141@hotmail.com,Rs 11.02 L
CAR0046,Ford,Mustang,2019,Black,Diesel,Automatic,SUV,64649,Third Owner,6.31 lakh,23/04/2023,Dealer_B9,Central,Dealer,Customer_2020,9844242456,customer471@hotmail.com,TN,631000.0,2023-04-23,+91-98442-42456,customer471@hotmail.com,Rs 6.31 L
CAR0047,Ford,Endeavour,2021,Brown,Petrol,Automatic,Coupe,59336,Third Owner,4302055,02-09-2024,Dealer_A5,North,Corporate,Customer_9824,7469124598,customer686@yahoo.com,KA,4302055.0,2024-09-02,+91-74691-24598,customer686@yahoo.com,Rs 43.02 L
CAR0048,Mercedes,A-Class,2017,Red,Electric,Semi-Automatic,Sedan,57286,Fourth & Above,2609586,29-06-23,Dealer_C6,West,Corporate,,9439377645,customer466@outlook.com,UP,2609586.0,2023-06-29,+91-94393-77645,customer466@outlook.com,Rs 26.10 L
CAR0049,Hyundai,i20,2021,Grey,Diesel,Automatic,Wagon,93371,Third Owner,26.75 lakh,2024-11-16,Dealer_C12,Central,Individual,Customer_5947,85442644,customer122@outlook.com,TN,2675000.0,2024-11-16,85442644,customer122@outlook.com,Rs 26.75 L
CAR0050,Hyundai,Venue,2012,Black,Petrol,Semi-Automatic,Convertible,124269,Fourth & Above,3334192,2024-09-02,Dealer_D10,North,Dealer,Customer_3695,7882192670,customer457@gmail.com,UP,3334192.0,2024-09-02,+91-78821-92670,customer457@gmail.com,Rs 33.34 L
CAR0051,Toyota,Corolla,2019,Green,Electric,Automatic,Sedan,24144,Second Owner,579918,23/02/2024,Dealer_C15,Central,Dealer,Customer_7154,7571186857,customer551@outlook.com,RJ,579918.0,2024-02-23,+91-75711-86857,customer551@outlook.com,Rs 5.80 L
CAR0053,Toyota,Corolla,2021,Black,Diesel,Automatic,Coupe,16596,Second Owner,3574446,08-12-2024,Dealer_B8,East,Corporate,Customer_3869,8479250414,customer327@outlook.com,KA,3574446.0,2024-12-08,+91-84792-50414,customer327@outlook.com,Rs 35.74 L
CAR0054,Tata,Nexon,2018,Grey,Petrol,Semi-Automatic,SUV,113180,Second Owner,36.94 lakh,2023-07-15,Dealer_E11,East,Dealer,Customer_4422,7065857791,customer765@outlook.com,WB,3694000.0,2023-07-15,+91-70658-57791,customer765@outlook.com,Rs 36.94 L
CAR0055,BMW,X1,2014,Black,Hybrid,Manual,Wagon,99278,Fourth & Above,4501816,2024-02-28,Dealer_E16,South,Corporate,Customer_5026,8105209993,customer758@outlook.com,MH,4501816.0,2024-02-28,+91-81052-09993,customer758@outlook.com,Rs 45.02 L
CAR0056,Toyota,Camry,2023,Grey,Petrol,Automatic,Coupe,17717,Fourth & Above,0.03 crore,15-10-24,Dealer_E8,South,Dealer,Customer_8054,7413665007,customer259@hotmail.com,DL,300000.0,2024-10-15,+91-74136-65007,customer259@hotmail.com,Rs 3.00 L
CAR0059,Tata,Safari,2022,Grey,Hybrid,Semi-Automatic,SUV,75717,Fourth & Above,0.11 crore,09-03-2024,Dealer_D4,South,Dealer,Customer_3777,7271730355,customer802@gmail.com,MH,1100000.0,2024-03-09,+91-72717-30355,customer802@gmail.com,Rs 11.00 L
CAR0060,Mercedes,GLC,2023,Black,Hybrid,Automatic,Coupe,104585,First Owner,2964396,01-07-23,Dealer_D5,East,Individual,Customer_2865,7772781491,customer473@yahoo.com,UP,2964396.0,2023-07-01,+91-77727-81491,customer473@yahoo.com,Rs 29.64 L
CAR0061,Hyundai,Venue,2022,Brown,Unknown,Semi-Automatic,Sedan,103825,Second Owner,8.20 lakh,2024-01-04,Dealer_D4,East,Dealer,,8111272861,customer705@yahoo.com,DL,819999.9999999999,2024-01-04,+91-81112-72861,customer705@yahoo.com,Rs 8.20 L
CAR0062,Honda,Civic,2015,Grey,Diesel,Semi-Automatic,SUV,86760,First Owner,30.78 lakh,2023-02-15,Dealer_C3,Central,Individual,Customer_7985,7792214339,customer756@yahoo.com,KA,3078000.0,2023-02-15,+91-77922-14339,customer756@yahoo.com,Rs 30.78 L
CAR0063,BMW,X1,2013,Blue,Petrol,Manual,Coupe,124944,Second Owner,1155923,13/04/2024,Dealer_E2,East,Individual,Customer_3316,8648021756,customer942@yahoo.com,WB,1155923.0,2024-04-13,+91-86480-21756,customer942@yahoo.com,Rs 11.56 L
CAR0064,Hyundai,Creta,2023,Blue,Electric,Automatic,Wagon,105648,First Owner,49.11 lakh,08-14-2023,Dealer_B10,North,Dealer,Customer_2871,93280585,customer737@outlook.com,UP,4911000.0,2023-08-14,93280585,customer737@outlook.com,Rs 49.11 L
CAR0065,BMW,3 Series,2017,White,CNG,Semi-Automatic,Wagon,35772,Second Owner,2187647,2023-07-31,Dealer_D16,South,Corporate,Customer_2560,7254630933,customer887@yahoo.com,UP,2187647.0,2023-07-31,+91-72546-30933,customer887@yahoo.com,Rs 21.88 L
CAR0066,Mercedes,A-Class,2017,Red,Electric,Manual,SUV,24796,First Owner,980935,06-04-23,Dealer_D15,North,Dealer,Customer_5646,9084510429,customer48@gmail.com,TN,980935.0,2023-04-06,+91-90845-10429,customer48@gmail.com,Rs 9.81 L
CAR0068,Tata,Nexon,2010,Blue,Diesel,Manual,Coupe,95065,First Owner,12.12 lakh,01-12-2024,Dealer_C14,East,Individual,Customer_3688,7650146942,customer223@gmail.com,TN,1212000.0,2024-12-01,+91-76501-46942,customer223@gmail.com,Rs 12.12 L
CAR0070,BMW,X1,2012,Blue,Hybrid,Automatic,Sedan,106407,Second Owner,4967920,2023-08-09,Dealer_D4,West,Corporate,Customer_3501,7872726570,customer601@gmail.com,MH,4967920.0,2023-08-09,+91-78727-26570,customer601@gmail.com,Rs 49.68 L
CAR0071,Ford,Figo,2011,White,Petrol,Semi-Automatic,Sedan,8320,First Owner,0.14 crore,2023-10-03,Dealer_B2,West,Dealer,,9434757387,customer916@gmail.com,RJ,1400000.0000000002,2023-10-03,+91-94347-57387,customer916@gmail.com,Rs 14.00 L
CAR0074,Honda,City,2024,Brown,CNG,Semi-Automatic,Sedan,65679,Fourth & Above,4560056,2024-08-04,Dealer_E12,South,Dealer,,+91-78706-44102,customer789@gmail.com,UP,4560056.0,2024-08-04,+91-78706-44102,customer789@gmail.com,Rs 45.60 L
CAR0075,Tata,Safari,2023,Grey,Diesel,Automatic,Wagon,36434,Fourth & Above,0.10 crore,09-12-2023,Dealer_A19,Central,Dealer,Customer_2551,+91-70513-54601,customer800@yahoo.com,DL,1000000.0,2023-12-09,+91-70513-54601,customer800@yahoo.com,Rs 10.00 L
CAR0076,Honda,Camry,2013,Brown,Diesel,Automatic,Convertible,121242,Second Owner,12.80 lakh,09-02-24,Dealer_A13,East,Dealer,Customer_5026,+91-90574-22183,customer287@outlook.com,WB,1280000.0,2024-02-09,+91-90574-22183,customer287@outlook.com,Rs 12.80 L
CAR0077,BMW,Unknown Model,2018,Silver,Diesel,Semi-Automatic,Convertible,89306,Fourth & Above,3457978,04-28-2024,Dealer_B19,South,Dealer,Customer_4594,7746087503,CUSTOMER715@HOTMAIL.COM,UP,3457978.0,2024-04-28,+91-77460-87503,customer715@hotmail.com,Rs 34.58 L
CAR0079,Hyundai,i20,2023,White,Hybrid,Semi-Automatic,Sedan,142965,Second Owner,3260917,23-03-24,Dealer_D5,East,Corporate,Customer_5825,9460306692,customer34@yahoo.com,DL,3260917.0,2024-03-23,+91-94603-06692,customer34@yahoo.com,Rs 32.61 L
CAR0080,Maruti,Baleno,2015,Blue,Diesel,Automatic,SUV,49010,First Owner,9.44 lakh,2023-04-21,Dealer_D6,North,Corporate,Customer_8855,79688704,customer867@gmail.com,DL,944000.0,2023-04-21,79688704,customer867@gmail.com,Rs 9.44 L
CAR0081,BMW,7 Series,2019,Black,Hybrid,Automatic,Convertible,131546,Third Owner,459989,07-21-2024,Dealer_D6,East,Dealer,,7733718685,customer119@hotmail.com,GJ,459989.0,2024-07-21,+91-77337-18685,customer119@hotmail.com,Rs 4.60 L
CAR0082,Hyundai,Venue,2010,Blue,Hybrid,Automatic,SUV,74021,Second Owner,3888810,19-12-23,Dealer_B7,South,Individual,,7149157745,customer694@yahoo.com,RJ,3888810.0,2023-12-19,+91-71491-57745,customer694@yahoo.com,Rs 38.89 L
CAR0083,Honda,CR-V,2013,Grey,Electric,Semi-Automatic,Hatchback,43765,Fourth & Above,0.24 crore,16-06-24,Dealer_D5,Central,Corporate,Customer_2641,8228759446,customer271@outlook.com,RJ,2400000.0,2024-06-16,+91-82287-59446,customer271@outlook.com,Rs 24.00 L
CAR0084,Honda,Innova,2024,Silver,CNG,Semi-Automatic,SUV,91899,First Owner,2192959,2024-05-18,Dealer_A8,North,Dealer,Customer_7671,7241402174,customer519@outlook.com,MH,2192959.0,2024-05-18,+91-72414-02174,customer519@outlook.com,Rs 21.93 L
CAR0085,BMW,5 Series,2014,Green,Petrol,Manual,Sedan,101561,Second Owner,4094146,04-30-2024,Dealer_B9,Central,Dealer,Customer_4511,8155705163,customer991@gmail.com,UP,4094146.0,2024-04-30,+91-81557-05163,customer991@gmail.com,Rs 40.94 L
CAR0087,BMW,X1,2014,Grey,Petrol,Manual,Convertible,83326,Third Owner,1780078,27-01-23,Dealer_B11,North,Individual,Customer_9759,8539733450,customer898@yahoo.com,GJ,1780078.0,2023-01-27,+91-85397-33450,customer898@yahoo.com,Rs 17.80 L
CAR0089,Hyundai,Creta,2015,Grey,Diesel,Manual,Wagon,112267,First Owner,0.50 crore,07-01-2023,Dealer_B8,East,Dealer,Customer_8035,7162028997,customer914@hotmail.com,KA,5000000.0,2023-01-07,+91-71620-28997,customer914@hotmail.com,Rs 50.00 L
CAR0090,Honda,Unknown Model,2018,Brown,Electric,Manual,Sedan,85246,First Owner,1601066,05-18-2023,Dealer_A4,West,Dealer,Customer_9267,7160474695,CUSTOMER639@GMAIL.COM,RJ,1601066.0,2023-05-18,+91-71604-74695,customer639@gmail.com,Rs 16.01 L
CAR0092,Honda,Accord,2020,Red,Petrol,Manual,Wagon,65597,Fourth & Above,4031507,01-04-2024,Dealer_B4,South,Corporate,Customer_5395,+91-77854-18196,customer410@outlook.com,MH,4031507.0,2024-04-01,+91-77854-18196,customer410@outlook.com,Rs 40.32 L
CAR0093,Hyundai,i20,2016,White,Petrol,Semi-Automatic,SUV,131530,First Owner,4972643,2024-05-14,Dealer_E16,West,Individual,Customer_6542,8859067602,customer693@outlook.com,DL,4972643.0,2024-05-14,+91-88590-67602,customer693@outlook.com,Rs 49.73 L
CAR0095,Mercedes,C-Class,2018,Green,Hybrid,Semi-Automatic,Wagon,148942,Second Owner,201423,2024-01-08,Dealer_D4,East,Corporate,,8525310290,CUSTOMER535@HOTMAIL.COM,TN,201423.0,2024-01-08,+91-85253-10290,customer535@hotmail.com,Rs 2.01 L
CAR0096,Maruti,Swift,2024,Blue,Hybrid,Automatic,Hatchback,107995,Second Owner,2008495,06-04-24,Dealer_C15,South,Individual,Customer_9328,7745822208,customer615@hotmail.com,RJ,2008495.0,2024-04-06,+91-77458-22208,customer615@hotmail.com,Rs 20.08 L
CAR0097,Ford,Mustang,2023,White,Electric,Semi-Automatic,SUV,87289,Third Owner,4843778,10-14-2024,Dealer_A10,South,Corporate,,+91-76241-73500,customer58@yahoo.com,MH,4843778.0,2024-10-14,+91-76241-73500,customer58@yahoo.com,Rs 48.44 L
CAR0098,BMW,X5,2011,Brown,Electric,Semi-Automatic,Convertible,63800,First Owner,49.08 lakh,2023-11-17,Dealer_C5,South,Corporate,Customer_9955,7831066348,customer192@yahoo.com,UP,4908000.0,2023-11-17,+91-78310-66348,customer192@yahoo.com,Rs 49.08 L
CAR0102,Honda,Accord,2022,Black,Unknown,Semi-Automatic,SUV,83997,Third Owner,925658,02-05-2024,Dealer_E2,Central,Dealer,Customer_7456,8476831585,customer146@yahoo.com,DL,925658.0,2024-05-02,+91-84768-31585,customer146@yahoo.com,Rs 9.26 L
CAR0103,Ford,EcoSport,2014,Blue,Hybrid,Automatic,Sedan,30743,Third Owner,1856058,13/03/2023,Dealer_B20,North,Dealer,Customer_6131,8873138608,customer340@outlook.com,KA,1856058.0,2023-03-13,+91-88731-38608,customer340@outlook.com,Rs 18.56 L
CAR0104,Maruti,Baleno,2021,Black,CNG,Semi-Automatic,Convertible,25044,Second Owner,832500,07-18-2024,Dealer_B16,East,Individual,Customer_8613,7045490921,customer629@yahoo.com,TN,832500.0,2024-07-18,+91-70454-90921,customer629@yahoo.com,Rs 8.32 L
CAR0105,Tata,Harrier,2011,Red,CNG,Semi-Automatic,Sedan,74299,Fourth & Above,32.99 lakh,10-26-2024,Dealer_E5,West,Individual,Customer_7201,9219050244,customer416@hotmail.com,TN,3299000.0,2024-10-26,+91-92190-50244,customer416@hotmail.com,Rs 32.99 L
CAR0106,Honda,Amaze,2020,Grey,Diesel,Manual,SUV,78612,Third Owner,1974334,08-05-24,Dealer_D20,West,Dealer,,8109216714,customer993@gmail.com,KA,1974334.0,2024-05-08,+91-81092-16714,customer993@gmail.com,Rs 19.74 L
CAR0107,Maruti,Dzire,2019,Blue,Hybrid,Semi-Automatic,Hatchback,42411,Third Owner,17.26 lakh,30/01/2024,Dealer_A17,West,Individual,Customer_1639,7400247855,customer848@gmail.com,WB,1726000.0000000002,2024-01-30,+91-74002-47855,customer848@gmail.com,Rs 17.26 L
CAR0108,Mercedes,GLC,2019,Brown,CNG,Automatic,Hatchback,843170,Fourth & Above,3769263,2023-01-06,Dealer_E12,West,Corporate,Customer_9783,9923179238,customer571@outlook.com,KA,3769263.0,2023-01-06,+91-99231-79238,customer571@outlook.com,Rs 37.69 L
CAR0109,Honda,Civic,2017,White,Petrol,Manual,Convertible,47413,Second Owner,1041198,2024-10-13,Dealer_C7,North,Corporate,Customer_7564,+91-95661-25120,customer793@yahoo.com,TN,1041198.0,2024-10-13,+91-95661-25120,customer793@yahoo.com,Rs 10.41 L
CAR0110,Hyundai,Unknown Model,2015,Black,CNG,Semi-Automatic,Coupe,67719,Third Owner,202409,2023-03-12,Dealer_E16,South,Dealer,Customer_7618,7457263513,customer120@hotmail.com,WB,202409.0,2023-03-12,+91-74572-63513,customer120@hotmail.com,Rs 2.02 L
CAR0111,Tata,Unknown Model,2023,Grey,CNG,Automatic,Hatchback,12169,Second Owner,4243058,2023-12-28,Dealer_B4,North,Individual,Customer_5408,7816763181,customer894@hotmail.com,WB,4243058.0,2023-12-28,+91-78167-63181,customer894@hotmail.com,Rs 42.43 L
CAR0112,Toyota,Etios,2010,Silver,Hybrid,Semi-Automatic,Convertible,131429,Third Owner,33.14 lakh,13/08/2024,Dealer_C12,South,Dealer,Customer_2972,7050766424,customer371@hotmail.com,RJ,3314000.0,2024-08-13,+91-70507-66424,customer371@hotmail.com,Rs 33.14 L
CAR0113,Maruti,Dzire,2021,Black,Unknown,Automatic,Wagon,102598,Third Owner,3262496,04/10/2023,Dealer_A15,East,Dealer,Customer_9470,8077925250,customer708yahoo.com,GJ,3262496.0,2023-10-04,+91-80779-25250,,Rs 32.62 L
CAR0114,Honda,7 Series,2018,White,Petrol,Semi-Automatic,Coupe,72558,Third Owner,3086857,10-19-2023,Dealer_C15,East,Corporate,Customer_6527,+91-73064-20495,customer352@yahoo.com,WB,3086857.0,2023-10-19,+91-73064-20495,customer352@yahoo.com,Rs 30.87 L
CAR0115,Mercedes,E-Class,2012,Blue,Petrol,Manual,Hatchback,11055,Fourth & Above,12.49 lakh,2024-04-29,Dealer_D15,Central,Dealer,Customer_6068,+91-75429-34161,customer859yahoo.com,WB,1249000.0,2024-04-29,+91-75429-34161,,Rs 12.49 L
CAR0117,Honda,Verna,2014,Silver,Diesel,Automatic,Sedan,127997,Second Owner,46.89 lakh,01-08-2023,Dealer_D20,West,Dealer,Customer_2297,9633743591,customer761@hotmail.com,WB,4689000.0,2023-08-01,+91-96337-43591,customer761@hotmail.com,Rs 46.89 L
